tpsgenD89.VP;tpsgenD89.TC;id_menage;id_personne;id_chaine;Id_boucle;coep;D7_residence;nbactif;nbpers+18ans;taille_menage;nombre_VP;motorisation;habitat;occupation_logement;occupation;niveau_etudes;permis;abonnementTC;age;age0-17;age18-25;age26-35;age36-45;age46-59;age60+;sexe;D7_origine;D7_destination;Densite89;motif_ori;motif_dest;Premier_mode;tps_gen_VP_D89;tps_gen_TC_D89;lnage18
12,5515;29,5965;10304100;10304101;1030410112;103041011;40,13049;1;3;6;7;1;0,166666667;4;3;1;3;1;2;50;0;0;0;0;1;0;1;1;1;359,8916651;TRAVAIL;DOMI;TC;12,5515;29,5965;3,496507561
67,90898167;40,9535;10304100;10304103;1030410312;103041031;34,759;1;3;6;7;1;0,166666667;4;3;2;2;2;2;21;0;1;0;0;0;0;1;3;1;34,5114726;TRAVAIL;DOMI;TC;67,90898167;40,9535;1,386294361
45,40033333;54,92216667;10304400;10304401;1030440112;103044011;82,55134;1;2;2;2;1;0,5;4;3;1;6;1;4;28;0;0;1;0;0;0;1;2;1;160,3279631;TRAVAIL;DOMI;VP;45,40033333;54,92216667;2,397895273
18,855;35,72566667;10304400;10304402;1030440212;103044021;82,55134;1;2;2;2;1;0,5;4;3;1;6;1;3;27;0;0;1;0;0;0;2;1;1;158,046015;TRAVAIL;DOMI;TC;18,855;35,72566667;2,302585093
18,855;35,72566667;10306700;10306701;1030670112;103067011;80,28983;1;1;1;1;0;0;4;3;1;6;1;3;27;0;0;1;0;0;0;2;1;1;158,046015;TRAVAIL;DOMI;TC;18,855;35,72566667;2,302585093
36,243;22,8375;10309600;10309602;1030960212;103096021;82,55134;1;1;2;2;1;0,5;4;3;1;6;1;3;28;0;0;1;0;0;0;2;2;1;120,5247757;TRAVAIL;DOMI;VP;36,243;22,8375;2,397895273
113,18027;67,34216667;10310400;10310402;1031040212;103104021;108,2004;1;1;2;2;1;0,5;4;3;1;6;1;4;58;0;0;0;0;1;0;1;5;1;24,89714932;TRAVAIL;DOMI;VP;113,18027;67,34216667;3,713572067
18,855;35,72566667;10312000;10312001;1031200112;103120011;67,70492;1;1;1;1;0;0;4;1;1;5;1;2;42;0;0;0;1;0;0;2;1;1;158,046015;TRAVAIL;DOMI;TC;18,855;35,72566667;3,218875825
12,5515;29,5965;10312200;10312201;1031220112;103122011;84,33428;1;2;2;3;1;0,5;4;3;1;6;1;2;35;0;0;1;0;0;0;1;1;1;359,8916651;TRAVAIL;DOMI;TC;12,5515;29,5965;2,890371758
18,855;35,72566667;10313700;10313701;1031370112;103137011;67,70492;1;1;1;1;0;0;4;1;1;6;1;2;54;0;0;0;0;1;0;2;1;1;158,046015;TRAVAIL;DOMI;TC;18,855;35,72566667;3,610917913
5,973166667;18,81483333;10313700;10313701;1031370122;103137012;67,70492;1;1;1;1;0;0;4;1;1;6;1;2;54;0;0;0;0;1;0;2;1;1;373,274615;TRAVAIL;DOMI;TC;5,973166667;18,81483333;3,610917913
31,04316333;30,67366667;10314200;10314201;1031420112;103142011;80,28983;1;1;1;1;0;0;4;1;1;6;1;4;38;0;0;0;1;0;0;2;2;1;490,2529794;TRAVAIL;DOMI;TC;31,04316333;30,67366667;3,044522438
18,855;35,72566667;10314300;10314301;1031430112;103143011;80,28983;1;1;1;1;0;0;4;3;1;6;1;4;25;0;1;0;0;0;0;2;1;1;158,046015;TRAVAIL;DOMI;TC;18,855;35,72566667;2,079441542
12,5515;29,5965;10314500;10314502;1031450222;103145022;60,29434;1;0;2;2;0;0;4;3;4;0;2;3;20;0;1;0;0;0;0;2;1;1;359,8916651;TRAVAIL;DOMI;TC;12,5515;29,5965;1,098612289
38,6155;26,2035;10314700;10314701;1031470112;103147011;105,2363;1;1;1;1;0;0;4;3;1;4;1;3;60;0;0;0;0;0;1;2;2;1;137,6442763;TRAVAIL;DOMI;TC;38,6155;26,2035;3,761200116
30,55682833;42,99666667;10315200;10315201;1031520112;103152011;40,13049;1;3;3;4;2;0,666666667;4;1;1;5;1;4;43;0;0;0;1;0;0;1;2;1;136,3157636;TRAVAIL;DOMI;VP;30,55682833;42,99666667;3,258096538
30,55682833;42,99666667;10315200;10315201;1031520122;103152012;40,13049;1;3;3;4;2;0,666666667;4;1;1;5;1;4;43;0;0;0;1;0;0;1;2;1;136,3157636;TRAVAIL;DOMI;VP;30,55682833;42,99666667;3,258096538
18,855;35,72566667;10315200;10315203;1031520312;103152031;34,759;1;3;3;4;2;0,666666667;4;1;1;5;1;4;20;0;1;0;0;0;0;1;1;1;158,046015;TRAVAIL;DOMI;TC;18,855;35,72566667;1,098612289
